eclipse-jdtcore\src\core\CorrectionEngine.java	191	208	eclipse-jdtcore\src\core\CorrectionEngine.java	222	239	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1164	eclipse-jdtcore\src\core\JavaCore.java	1188	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1165	eclipse-jdtcore\src\core\JavaCore.java	1187	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1166	eclipse-jdtcore\src\core\JavaCore.java	1186	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1167	eclipse-jdtcore\src\core\JavaCore.java	1185	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1168	eclipse-jdtcore\src\core\JavaCore.java	1184	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1169	eclipse-jdtcore\src\core\JavaCore.java	1183	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1170	eclipse-jdtcore\src\core\JavaCore.java	1181	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1171	eclipse-jdtcore\src\core\JavaCore.java	1180	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1172	eclipse-jdtcore\src\core\JavaCore.java	1178	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1173	eclipse-jdtcore\src\core\JavaCore.java	1176	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1174	eclipse-jdtcore\src\core\JavaCore.java	1175	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1175	eclipse-jdtcore\src\core\JavaCore.java	1174	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1177	eclipse-jdtcore\src\core\JavaCore.java	1173	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1179	eclipse-jdtcore\src\core\JavaCore.java	1172	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1180	eclipse-jdtcore\src\core\JavaCore.java	1171	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1182	eclipse-jdtcore\src\core\JavaCore.java	1170	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1183	eclipse-jdtcore\src\core\JavaCore.java	1169	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1184	eclipse-jdtcore\src\core\JavaCore.java	1168	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1185	eclipse-jdtcore\src\core\JavaCore.java	1167	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1186	eclipse-jdtcore\src\core\JavaCore.java	1166	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1187	eclipse-jdtcore\src\core\JavaCore.java	1165	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1188	eclipse-jdtcore\src\core\JavaCore.java	1164	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1189	eclipse-jdtcore\src\core\JavaCore.java	1163	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1190	eclipse-jdtcore\src\core\JavaCore.java	1162	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1192	eclipse-jdtcore\src\core\JavaCore.java	1161	1194	0
eclipse-jdtcore\src\core\JavaCore.java	1159	1193	eclipse-jdtcore\src\core\JavaCore.java	1160	1194	0
eclipse-jdtcore\src\core\Signature.java	309	318	eclipse-jdtcore\src\core\Signature.java	327	336	0
eclipse-jdtcore\src\core\Signature.java	309	321	eclipse-jdtcore\src\core\Signature.java	324	336	0
eclipse-jdtcore\src\core\Signature.java	309	324	eclipse-jdtcore\src\core\Signature.java	321	336	0
eclipse-jdtcore\src\core\Signature.java	309	327	eclipse-jdtcore\src\core\Signature.java	318	336	0
eclipse-jdtcore\src\core\Signature.java	309	330	eclipse-jdtcore\src\core\Signature.java	315	336	0
eclipse-jdtcore\src\core\Signature.java	309	333	eclipse-jdtcore\src\core\Signature.java	312	336	0
eclipse-jdtcore\src\core\Signature.java	369	383	eclipse-jdtcore\src\core\Signature.java	385	407	0
eclipse-jdtcore\src\core\Signature.java	425	438	eclipse-jdtcore\src\core\Signature.java	471	486	0
eclipse-jdtcore\src\core\Signature.java	447	461	eclipse-jdtcore\src\core\Signature.java	527	550	0
eclipse-jdtcore\src\core\Signature.java	489	503	eclipse-jdtcore\src\core\Signature.java	501	514	0
eclipse-jdtcore\src\core\Signature.java	489	506	eclipse-jdtcore\src\core\Signature.java	498	514	0
eclipse-jdtcore\src\core\Signature.java	489	509	eclipse-jdtcore\src\core\Signature.java	495	514	0
eclipse-jdtcore\src\core\Signature.java	489	512	eclipse-jdtcore\src\core\Signature.java	492	514	0
eclipse-jdtcore\src\core\Signature.java	680	686	eclipse-jdtcore\src\core\Signature.java	692	698	0
eclipse-jdtcore\src\core\Signature.java	680	688	eclipse-jdtcore\src\core\Signature.java	690	698	0
eclipse-jdtcore\src\core\Signature.java	680	690	eclipse-jdtcore\src\core\Signature.java	688	698	0
eclipse-jdtcore\src\core\Signature.java	680	692	eclipse-jdtcore\src\core\Signature.java	686	698	0
eclipse-jdtcore\src\core\Signature.java	680	694	eclipse-jdtcore\src\core\Signature.java	684	698	0
eclipse-jdtcore\src\core\Signature.java	680	696	eclipse-jdtcore\src\core\Signature.java	682	698	0
eclipse-jdtcore\src\core\ant\Jdtcom.java	55	61	eclipse-jdtcore\src\core\ant\Jdtcom.java	70	76	0
eclipse-jdtcore\src\core\ant\Jdtcom.java	55	64	eclipse-jdtcore\src\core\ant\Jdtcom.java	67	76	0
eclipse-jdtcore\src\core\ant\Jdtcom.java	55	67	eclipse-jdtcore\src\core\ant\Jdtcom.java	64	76	0
eclipse-jdtcore\src\core\ant\Jdtcom.java	55	70	eclipse-jdtcore\src\core\ant\Jdtcom.java	61	76	0
eclipse-jdtcore\src\core\ant\Jdtcom.java	55	73	eclipse-jdtcore\src\core\ant\Jdtcom.java	58	76	0
eclipse-jdtcore\src\core\ant\Jdtcom.java	96	101	eclipse-jdtcore\src\core\ant\Jdtcom.java	115	118	0
eclipse-jdtcore\src\core\ant\Jdtcom.java	124	131	eclipse-jdtcore\src\core\ant\Jdtcom.java	132	138	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	32	50	eclipse-jdtcore\src\core\dom\ArrayCreation.java	52	68	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	61	eclipse-jdtcore\src\core\dom\ArrayCreation.java	72	82	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	82	103	eclipse-jdtcore\src\core\dom\ArrayCreation.java	105	126	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	107	126	eclipse-jdtcore\src\core\dom\ArrayCreation.java	105	126	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	32	50	eclipse-jdtcore\src\core\dom\ArrayType.java	29	46	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	60	eclipse-jdtcore\src\core\dom\ArrayType.java	46	54	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	72	95	eclipse-jdtcore\src\core\dom\ArrayType.java	63	88	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	120	eclipse-jdtcore\src\core\dom\ArrayType.java	70	88	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	49	eclipse-jdtcore\src\core\dom\AssertStatement.java	11	48	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	103	eclipse-jdtcore\src\core\dom\AssertStatement.java	54	106	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\AssertStatement.java	80	106	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	50	60	eclipse-jdtcore\src\core\dom\Assignment.java	159	169	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	66	77	eclipse-jdtcore\src\core\dom\Assignment.java	176	187	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	95	eclipse-jdtcore\src\core\dom\Assignment.java	206	222	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	95	eclipse-jdtcore\src\core\dom\Assignment.java	230	246	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	120	eclipse-jdtcore\src\core\dom\Assignment.java	200	222	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	120	eclipse-jdtcore\src\core\dom\Assignment.java	224	246	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	122	134	eclipse-jdtcore\src\core\dom\Assignment.java	248	261	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	80	eclipse-jdtcore\src\core\dom\CastExpression.java	11	79	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\CastExpression.java	100	124	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	82	134	eclipse-jdtcore\src\core\dom\CastExpression.java	81	132	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	107	126	eclipse-jdtcore\src\core\dom\CastExpression.java	81	100	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	50	eclipse-jdtcore\src\core\dom\CatchClause.java	11	50	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	134	eclipse-jdtcore\src\core\dom\CatchClause.java	52	134	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\CatchClause.java	103	126	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\CatchClause.java	78	103	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	61	eclipse-jdtcore\src\core\dom\ClassInstanceCreation.java	78	88	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\ClassInstanceCreation.java	132	157	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	126	eclipse-jdtcore\src\core\dom\ClassInstanceCreation.java	125	157	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	126	134	eclipse-jdtcore\src\core\dom\ClassInstanceCreation.java	195	205	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	61	eclipse-jdtcore\src\core\dom\CompilationUnit.java	102	112	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	27	51	eclipse-jdtcore\src\core\dom\ConditionalExpression.java	32	57	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	50	61	eclipse-jdtcore\src\core\dom\ConditionalExpression.java	56	70	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	71	126	eclipse-jdtcore\src\core\dom\ConditionalExpression.java	81	138	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\ConditionalExpression.java	138	162	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	134	eclipse-jdtcore\src\core\dom\ConditionalExpression.java	113	171	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\ConditionalExpression.java	88	113	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	49	eclipse-jdtcore\src\core\dom\DoStatement.java	11	48	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	50	126	eclipse-jdtcore\src\core\dom\DoStatement.java	50	124	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\DoStatement.java	102	124	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\DoStatement.java	78	102	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	60	eclipse-jdtcore\src\core\dom\ExpressionStatement.java	49	57	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	72	103	eclipse-jdtcore\src\core\dom\ExpressionStatement.java	66	95	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\ExpressionStatement.java	72	95	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	95	eclipse-jdtcore\src\core\dom\FieldAccess.java	11	92	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\FieldAccess.java	100	121	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	134	eclipse-jdtcore\src\core\dom\FieldAccess.java	94	129	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	120	eclipse-jdtcore\src\core\dom\FieldAccess.java	76	92	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	82	103	eclipse-jdtcore\src\core\dom\FieldDeclaration.java	149	172	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	107	126	eclipse-jdtcore\src\core\dom\FieldDeclaration.java	149	172	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	61	eclipse-jdtcore\src\core\dom\ForStatement.java	75	85	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\ForStatement.java	155	177	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\ForStatement.java	155	177	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	61	eclipse-jdtcore\src\core\dom\IfStatement.java	66	76	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	71	126	eclipse-jdtcore\src\core\dom\IfStatement.java	87	147	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\IfStatement.java	118	147	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\IfStatement.java	94	118	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	49	eclipse-jdtcore\src\core\dom\ImportDeclaration.java	11	50	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	61	eclipse-jdtcore\src\core\dom\ImportDeclaration.java	52	62	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	82	103	eclipse-jdtcore\src\core\dom\ImportDeclaration.java	86	110	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	107	126	eclipse-jdtcore\src\core\dom\ImportDeclaration.java	86	110	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	122	134	eclipse-jdtcore\src\core\dom\ImportDeclaration.java	121	132	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\InfixExpression.java	283	308	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	126	eclipse-jdtcore\src\core\dom\InfixExpression.java	259	309	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	126	eclipse-jdtcore\src\core\dom\InfixExpression.java	253	283	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	126	134	eclipse-jdtcore\src\core\dom\InfixExpression.java	339	349	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	60	eclipse-jdtcore\src\core\dom\Initializer.java	56	65	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	66	78	eclipse-jdtcore\src\core\dom\Initializer.java	72	87	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\Initializer.java	109	130	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	126	eclipse-jdtcore\src\core\dom\Initializer.java	103	130	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	49	eclipse-jdtcore\src\core\dom\LabeledStatement.java	11	50	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	126	eclipse-jdtcore\src\core\dom\LabeledStatement.java	54	124	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\LabeledStatement.java	102	124	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\LabeledStatement.java	80	102	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	32	49	eclipse-jdtcore\src\core\dom\MethodDeclaration.java	100	122	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\MethodDeclaration.java	219	245	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	126	eclipse-jdtcore\src\core\dom\MethodDeclaration.java	211	245	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	43	50	eclipse-jdtcore\src\core\dom\MethodInvocation.java	47	55	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	61	eclipse-jdtcore\src\core\dom\MethodInvocation.java	58	68	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\MethodInvocation.java	107	132	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	126	eclipse-jdtcore\src\core\dom\MethodInvocation.java	101	132	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	126	134	eclipse-jdtcore\src\core\dom\MethodInvocation.java	137	147	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	32	50	eclipse-jdtcore\src\core\dom\PackageDeclaration.java	27	47	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	60	eclipse-jdtcore\src\core\dom\PackageDeclaration.java	47	55	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	72	103	eclipse-jdtcore\src\core\dom\PackageDeclaration.java	64	90	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	134	eclipse-jdtcore\src\core\dom\PackageDeclaration.java	70	97	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	32	50	eclipse-jdtcore\src\core\dom\ParenthesizedExpression.java	27	45	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	60	eclipse-jdtcore\src\core\dom\ParenthesizedExpression.java	45	53	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	72	103	eclipse-jdtcore\src\core\dom\ParenthesizedExpression.java	62	91	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	134	eclipse-jdtcore\src\core\dom\ParenthesizedExpression.java	68	98	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	60	eclipse-jdtcore\src\core\dom\PostfixExpression.java	112	121	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\PostfixExpression.java	155	178	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	134	eclipse-jdtcore\src\core\dom\PostfixExpression.java	149	185	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	60	eclipse-jdtcore\src\core\dom\PrefixExpression.java	128	137	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\PrefixExpression.java	172	195	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	134	eclipse-jdtcore\src\core\dom\PrefixExpression.java	166	202	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	60	eclipse-jdtcore\src\core\dom\PrimitiveType.java	152	159	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	95	eclipse-jdtcore\src\core\dom\QualifiedName.java	11	98	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\QualifiedName.java	106	126	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	134	eclipse-jdtcore\src\core\dom\QualifiedName.java	100	134	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	120	eclipse-jdtcore\src\core\dom\QualifiedName.java	82	98	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	72	95	eclipse-jdtcore\src\core\dom\SimpleType.java	60	80	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	120	eclipse-jdtcore\src\core\dom\SimpleType.java	66	80	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	122	134	eclipse-jdtcore\src\core\dom\SimpleType.java	82	94	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	105	eclipse-jdtcore\src\core\dom\SingleVariableDeclaration.java	150	170	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	82	103	eclipse-jdtcore\src\core\dom\SingleVariableDeclaration.java	172	189	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	126	eclipse-jdtcore\src\core\dom\SingleVariableDeclaration.java	146	168	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	107	126	eclipse-jdtcore\src\core\dom\SingleVariableDeclaration.java	172	189	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	122	134	eclipse-jdtcore\src\core\dom\SingleVariableDeclaration.java	198	212	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	70	eclipse-jdtcore\src\core\dom\SuperConstructorInvocation.java	52	70	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	49	eclipse-jdtcore\src\core\dom\SuperFieldAccess.java	11	48	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	78	eclipse-jdtcore\src\core\dom\SuperFieldAccess.java	51	78	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\SuperFieldAccess.java	98	120	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	134	eclipse-jdtcore\src\core\dom\SuperFieldAccess.java	91	128	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	43	50	eclipse-jdtcore\src\core\dom\SuperMethodInvocation.java	47	54	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	61	eclipse-jdtcore\src\core\dom\SuperMethodInvocation.java	57	67	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\SuperMethodInvocation.java	105	130	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	126	eclipse-jdtcore\src\core\dom\SuperMethodInvocation.java	99	130	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	126	134	eclipse-jdtcore\src\core\dom\SuperMethodInvocation.java	135	145	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	49	eclipse-jdtcore\src\core\dom\SwitchCase.java	11	48	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	70	eclipse-jdtcore\src\core\dom\SwitchStatement.java	63	81	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	72	103	eclipse-jdtcore\src\core\dom\SwitchStatement.java	83	117	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\SwitchStatement.java	89	117	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	11	49	eclipse-jdtcore\src\core\dom\SynchronizedStatement.java	11	48	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	50	126	eclipse-jdtcore\src\core\dom\SynchronizedStatement.java	50	125	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\SynchronizedStatement.java	103	125	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\SynchronizedStatement.java	78	103	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	32	49	eclipse-jdtcore\src\core\dom\ThisExpression.java	26	39	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	122	134	eclipse-jdtcore\src\core\dom\ThisExpression.java	77	89	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	60	eclipse-jdtcore\src\core\dom\ThrowStatement.java	46	54	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	72	103	eclipse-jdtcore\src\core\dom\ThrowStatement.java	63	92	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\ThrowStatement.java	69	92	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	52	61	eclipse-jdtcore\src\core\dom\TryStatement.java	64	74	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	71	103	eclipse-jdtcore\src\core\dom\TryStatement.java	85	117	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\TryStatement.java	92	117	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	78	103	eclipse-jdtcore\src\core\dom\TypeDeclaration.java	204	233	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	97	126	eclipse-jdtcore\src\core\dom\TypeDeclaration.java	198	233	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	60	eclipse-jdtcore\src\core\dom\TypeDeclarationStatement.java	51	61	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	72	103	eclipse-jdtcore\src\core\dom\TypeDeclarationStatement.java	70	110	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	103	126	eclipse-jdtcore\src\core\dom\TypeDeclarationStatement.java	77	110	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	32	50	eclipse-jdtcore\src\core\dom\TypeLiteral.java	27	44	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	51	60	eclipse-jdtcore\src\core\dom\TypeLiteral.java	44	52	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	122	134	eclipse-jdtcore\src\core\dom\TypeLiteral.java	83	95	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	82	103	eclipse-jdtcore\src\core\dom\VariableDeclarationExpression.java	138	162	0
eclipse-jdtcore\src\core\dom\ArrayAccess.java	107	126	eclipse-jdtcore\src\core\dom\VariableDeclarationExpression.java	138	162	0
